timestamp,symbol,side,qty,price,fees,realized_pnl,balance_after,partial_fill,fill_ratio,leverage,margin_used
2025-11-06T00:00:00,BTC/USD,close_short,0.01227464,101323.01,0.7462,30.5506,567.66,False,1.00,3,425.00
2025-11-12T00:00:00,BTC/USD,short,0.01254429,101639.89,0.7650,0.0000,566.90,True,0.36,3,425.00
2025-11-14T00:00:00,BTC/USD,close_short,0.01254429,94550.72,0.7116,88.2170,655.36,True,0.45,3,425.00
2025-11-15T00:00:00,BTC/USD,short,0.01334573,95536.17,0.7650,0.0000,654.59,False,1.00,3,425.00
2025-11-17T00:00:00,BTC/USD,close_short,0.01334573,92159.68,0.7380,44.3238,699.21,True,0.39,3,425.00
2025-11-20T00:00:00,BTC/USD,short,0.01473371,86536.27,0.7650,0.0000,698.45,False,1.00,3,425.00
2025-11-22T00:00:00,BTC/USD,close_short,0.01473371,84713.92,0.7489,26.1011,724.46,True,0.34,3,425.00
2025-12-17T00:00:00,BTC/USD,short,0.01479016,86205.97,0.7650,0.0000,723.70,False,1.00,3,425.00
2025-01-09T00:00:00,BTC/USD,short,0.01377937,92529.61,0.7650,0.0000,499.24,True,0.74,3,425.00
2025-01-10T00:00:00,BTC/USD,close_short,0.01377937,94729.23,0.7832,-31.0926,468.10,False,1.00,3,425.00
2025-01-13T00:00:00,BTC/USD,long,0.01348685,94536.56,0.7650,0.0000,467.33,True,0.38,3,425.00
2025-01-14T00:00:00,BTC/USD,close_long,0.01348685,96507.56,0.7809,25.8016,493.14,False,1.00,3,425.00
2025-01-16T00:00:00,BTC/USD,long,0.01275007,99999.43,0.7650,0.0000,492.37,False,1.00,3,425.00
2025-01-17T00:00:00,BTC/USD,close_long,0.01275007,104090.31,0.7963,51.3627,543.38,True,0.58,3,425.00
2025-01-21T00:00:00,BTC/USD,long,0.01200827,106176.84,0.7650,0.0000,542.61,False,1.00,3,425.00
2025-01-22T00:00:00,BTC/USD,close_long,0.01200827,103648.35,0.7468,-31.1096,511.54,False,1.00,3,425.00
2025-01-23T00:00:00,BTC/USD,short,0.01226987,103913.09,0.7650,0.0000,510.78,True,0.72,3,425.00
2025-01-28T00:00:00,BTC/USD,close_short,0.01226987,101304.73,0.7458,31.2585,542.52,True,0.45,3,425.00
2025-02-03T00:00:00,BTC/USD,long,0.01256510,101471.57,0.7650,0.0000,541.75,True,0.52,3,425.00
2025-02-04T00:00:00,BTC/USD,close_long,0.01256510,97775.32,0.7371,-47.1809,494.40,False,1.00,3,425.00
2025-02-07T00:00:00,BTC/USD,long,0.01320531,96552.04,0.7650,0.0000,493.64,True,0.48,3,425.00
2025-02-20T00:00:00,BTC/USD,close_long,0.01320531,98325.99,0.7791,22.6466,515.18,False,1.00,3,425.00
2025-02-24T00:00:00,BTC/USD,long,0.01392601,91555.28,0.7650,0.0000,514.41,True,0.46,3,425.00
2025-02-25T00:00:00,BTC/USD,close_long,0.01392601,88591.54,0.7402,-42.0133,472.23,False,1.00,3,425.00
2025-02-26T00:00:00,BTC/USD,long,0.01515238,84145.21,0.7650,0.0000,471.47,False,1.00,3,425.00
2025-03-01T00:00:00,BTC/USD,close_long,0.01515238,86033.37,0.7822,27.8280,498.68,True,0.47,3,425.00
2025-03-27T00:00:00,BTC/USD,short,0.01462132,87201.45,0.7650,0.0000,497.91,True,0.30,3,425.00
2025-03-28T00:00:00,BTC/USD,close_short,0.01462132,84403.89,0.7405,40.1635,538.35,False,1.00,3,425.00
2025-04-02T00:00:00,BTC/USD,short,0.01545940,82474.08,0.7650,0.0000,537.59,False,1.00,3,425.00
2025-04-03T00:00:00,BTC/USD,close_short,0.01545940,83175.43,0.7715,-11.6140,525.86,False,1.00,3,425.00
2025-04-06T00:00:00,BTC/USD,long,0.01626665,78381.24,0.7650,0.0000,525.09,False,1.00,3,425.00
2025-04-09T00:00:00,BTC/USD,close_long,0.01626665,82570.51,0.8059,67.3395,592.25,True,0.38,3,425.00
2025-04-22T00:00:00,BTC/USD,long,0.01363607,93502.00,0.7650,0.0000,591.49,False,1.00,3,425.00
2025-04-23T00:00:00,BTC/USD,close_long,0.01363607,93710.48,0.7667,2.0762,593.56,True,0.72,3,425.00
2025-04-26T00:00:00,BTC/USD,short,0.01347143,94644.73,0.7650,0.0000,592.79,False,1.00,3,425.00
2025-05-08T00:00:00,BTC/USD,close_short,0.01347143,103279.65,0.8348,-117.1596,477.13,False,1.00,3,425.00
2025-05-11T00:00:00,BTC/USD,short,0.01224746,104103.20,0.7650,0.0000,476.37,False,1.00,3,425.00
